PARTICIPANT	SESSION_TIMESTAMP	TRIAL_N	CURRENT_TRIAL	TRIAL_TYPE	TRIAL_START_TIME	FIXATION_ONSET_TIME	STIM_ONSET_TIME	MASK_ONSET_TIME	RESPONSE_GIVEN_TIME	RT_REL_STIM_ONSET	RT_REL_MASK_ONSET	ACCURACY	TIMEOUT
S01	2021-01-13 18:19:51	119	NG	NON_BLINK	1610562191.2177393	1610562191.2257388	1610562191.7837389	1610562191.99274	1610562193.0427377	1.2589988708496094	1.0499978065490723	1	1
S01	2021-01-13 18:19:51	120	G	BLINK	1610562193.0427377	1610562195.0617383	1610562195.5217354	1610562195.729736	1610562195.9637349	0.4419994354248047	0.23399877548217773	1	0
S01	2021-01-13 18:19:51	121	G	NON_BLINK	1610562195.9637349	1610562195.9717367	1610562196.5327356	1610562196.7417362	1610562196.957736	0.4250004291534424	0.21599984169006348	1	0
S01	2021-01-13 18:19:51	122	G	NON_BLINK	1610562196.957736	1610562196.966734	1610562197.576735	1610562197.7887347	1610562197.975734	0.3989989757537842	0.18699932098388672	1	0
S01	2021-01-13 18:19:51	123	G	NON_BLINK	1610562197.975734	1610562197.9837334	1610562198.390733	1610562198.6007342	1610562198.8477323	0.4569993019104004	0.24699807167053223	1	0
S01	2021-01-13 18:19:51	124	G	NON_BLINK	1610562198.848736	1610562198.8557343	1610562199.4157321	1610562199.624733	1610562199.801735	0.386002779006958	0.177001953125	1	0
S01	2021-01-13 18:19:51	125	G	BLINK	1610562199.801735	1610562201.8177316	1610562202.2777328	1610562202.4867315	1610562202.76273	0.484997034072876	0.2759983539581299	1	0
S01	2021-01-13 18:19:51	126	NG	NON_BLINK	1610562202.76273	1610562202.7717302	1610562203.1827304	1610562203.3907292	1610562204.4407284	1.257997989654541	1.0499992370605469	1	1
S01	2021-01-13 18:19:51	127	G	NON_BLINK	1610562204.4407284	1610562204.4487293	1610562205.056729	1610562205.2677295	1610562205.4957266	0.4389975070953369	0.2279970645904541	1	0
S01	2021-01-13 18:19:51	128	G	NON_BLINK	1610562205.4957266	1610562205.5037289	1610562206.1137302	1610562206.323728	1610562206.5287266	0.4149963855743408	0.20499849319458008	1	0
S01	2021-01-13 18:19:51	129	G	NON_BLINK	1610562206.5287266	1610562206.5367281	1610562207.0467277	1610562207.2587273	1610562207.501726	0.454998254776001	0.24299860000610352	1	0
S01	2021-01-13 18:19:51	130	G	BLINK	1610562207.5027258	1610562209.5207243	1610562210.080725	1610562210.2897239	1610562210.5277238	0.44699883460998535	0.23799991607666016	1	0
S01	2021-01-13 18:19:51	131	G	NON_BLINK	1610562210.5277238	1610562210.5357256	1610562211.1457238	1610562211.3547242	1610562211.4907236	0.3449997901916504	0.13599944114685059	1	0
S01	2021-01-13 18:19:51	132	G	NON_BLINK	1610562211.4907236	1610562211.4997249	1610562212.109723	1610562212.3197227	1610562212.5237236	0.4140005111694336	0.20400094985961914	1	0
S01	2021-01-13 18:19:51	133	G	NON_BLINK	1610562212.5247242	1610562212.531722	1610562213.1407228	1610562213.3517234	1610562213.5277224	0.38699960708618164	0.17599892616271973	1	0
S01	2021-01-13 18:19:51	134	G	NON_BLINK	1610562213.5277224	1610562213.535461	1610562214.1457288	1610562214.3557324	1610562214.5417275	0.3959987163543701	0.18599510192871094	1	0
S01	2021-01-13 18:19:51	135	G	BLINK	1610562214.5417275	1610562216.5627275	1610562217.0717258	1610562217.2807264	1610562217.5407255	0.46899962425231934	0.25999903678894043	1	0
S01	2021-01-13 18:19:51	136	G	NON_BLINK	1610562217.541727	1610562217.549727	1610562218.1117253	1610562218.3207245	1610562218.5197244	0.40799903869628906	0.19899988174438477	1	0
S01	2021-01-13 18:19:51	137	G	NON_BLINK	1610562218.5197244	1610562218.5267253	1610562218.936724	1610562219.1457236	1610562219.4127245	0.4760005474090576	0.2670009136199951	1	0
S01	2021-01-13 18:19:51	138	G	NON_BLINK	1610562219.4127245	1610562219.4197233	1610562220.0287232	1610562220.2378454	1610562220.43573	0.40700674057006836	0.19788455963134766	1	0
S01	2021-01-13 18:19:51	139	NG	NON_BLINK	1610562220.43573	1610562220.4437299	1610562221.0547283	1610562221.2637289	1610562222.314727	1.2599987983703613	1.0509982109069824	1	1
S01	2021-01-13 18:19:51	140	G	BLINK	1610562222.314727	1610562224.3327286	1610562224.9427261	1610562225.1507263	1610562225.3777282	0.43500208854675293	0.22700190544128418	1	0
S01	2021-01-13 18:19:51	141	G	NON_BLINK	1610562225.3777282	1610562225.3857267	1610562225.7957253	1610562226.003726	1610562226.1947234	0.3989980220794678	0.19099736213684082	1	0
S01	2021-01-13 18:19:51	142	G	NON_BLINK	1610562226.1947234	1610562226.2027254	1610562226.7117238	1610562226.9197247	1610562227.0977235	0.3859996795654297	0.17799878120422363	1	0
S01	2021-01-13 18:19:51	143	G	NON_BLINK	1610562227.0977235	1610562227.1047258	1610562227.613725	1610562227.8227236	1610562227.9657228	0.35199785232543945	0.14299917221069336	1	0
S01	2021-01-13 18:19:51	144	G	NON_BLINK	1610562227.9657228	1610562227.972723	1610562228.5337255	1610562228.741723	1610562228.8047235	0.2709980010986328	0.06300044059753418	1	0
S01	2021-01-13 18:19:51	145	G	BLINK	1610562228.8047235	1610562230.8227222	1610562231.2317202	1610562231.440721	1610562231.7337215	0.5020012855529785	0.2930004596710205	1	0
S01	2021-01-13 18:19:51	146	G	NON_BLINK	1610562231.7337215	1610562231.7407222	1610562232.2007205	1610562232.4107192	1610562232.510719	0.3099985122680664	0.09999990463256836	1	0
S01	2021-01-13 18:19:51	147	G	NON_BLINK	1610562232.510719	1610562232.517721	1610562233.1277199	1610562233.3367186	1610562233.4287193	0.30099940299987793	0.09200072288513184	1	0
S01	2021-01-13 18:19:51	148	G	NON_BLINK	1610562233.4287193	1610562233.4367187	1610562233.84472	1610562234.0537193	1610562234.236718	0.3919980525970459	0.1829986572265625	1	0
S01	2021-01-13 18:19:51	149	G	NON_BLINK	1610562234.236718	1610562234.2447195	1610562234.8547194	1610562235.0637186	1610562235.1897166	0.33499717712402344	0.12599802017211914	1	0
S01	2021-01-13 18:19:51	150	G	BLINK	1610562235.1897166	1610562237.2077172	1610562237.7677164	1610562237.9767172	1610562238.2557151	0.48799872398376465	0.27899789810180664	1	0
S01	2021-01-13 18:19:51	151	G	NON_BLINK	1610562238.2557151	1610562238.2627156	1610562238.871714	1610562239.0807152	1610562239.2987137	0.426999568939209	0.21799850463867188	1	0
S01	2021-01-13 18:19:51	152	G	NON_BLINK	1610562239.2987137	1610562239.3067153	1610562239.9157152	1610562240.1247146	1610562240.3077126	0.3919973373413086	0.1829979419708252	1	0
S01	2021-01-13 18:19:51	153	G	NON_BLINK	1610562240.3077126	1610562240.3167162	1610562240.7767136	1610562240.9857142	1610562241.420713	0.6439993381500244	0.4349987506866455	1	0
S01	2021-01-13 18:19:51	154	G	NON_BLINK	1610562241.4217138	1610562241.4297123	1610562241.988713	1610562242.1977127	1610562242.5297112	0.5409982204437256	0.3319985866546631	1	0
S01	2021-01-13 18:19:51	155	NG	BLINK	1610562242.5297112	1610562244.54871	1610562245.109711	1610562245.3187103	1610562246.3687081	1.2589972019195557	1.0499978065490723	1	1
S01	2021-01-13 18:19:51	156	G	NON_BLINK	1610562246.369708	1610562246.3787088	1610562246.8397098	1610562247.0487075	1610562247.2257075	0.3859977722167969	0.1770000457763672	1	0
S01	2021-01-13 18:19:51	157	G	NON_BLINK	1610562247.2257075	1610562247.2337081	1610562247.7947078	1610562248.0047073	1610562248.1647081	0.37000036239624023	0.16000080108642578	1	0
S01	2021-01-13 18:19:51	158	G	NON_BLINK	1610562248.1647081	1610562248.1727076	1610562248.7827082	1610562248.9927063	1610562249.1227074	0.3399991989135742	0.13000106811523438	1	0
S01	2021-01-13 18:19:51	159	G	NON_BLINK	1610562249.1227074	1610562249.132386	1610562249.7417123	1610562249.953713	1610562250.0307126	0.2890002727508545	0.07699966430664062	1	0
S01	2021-01-13 18:19:51	160	G	BLINK	1610562250.0307126	1610562252.0507116	1610562252.5597122	1610562252.7687109	1610562253.0157104	0.45599818229675293	0.24699950218200684	1	0
S01	2021-01-13 18:19:51	161	NG	NON_BLINK	1610562253.0157104	1610562253.0247102	1610562253.4347105	1610562253.6447096	1610562254.6947095	1.2599990367889404	1.0499999523162842	1	1
S01	2021-01-13 18:19:51	162	G	NON_BLINK	1610562254.6947095	1610562254.703709	1610562255.3127081	1610562255.521711	1610562255.6947079	0.3819997310638428	0.17299675941467285	1	0
S01	2021-01-13 18:19:51	163	G	NON_BLINK	1610562255.6947079	1610562255.7027087	1610562256.1127071	1610562256.3217075	1610562256.5627062	0.4499990940093994	0.2409987449645996	1	0
S01	2021-01-13 18:19:51	164	NG	NON_BLINK	1610562256.5627062	1610562256.5707068	1610562256.981707	1610562257.1917064	1610562258.2417054	1.2599983215332031	1.0499989986419678	1	1
S01	2021-01-13 18:19:51	165	G	BLINK	1610562258.2417054	1610562260.258704	1610562260.717707	1610562260.9277046	1610562261.298704	0.5809969902038574	0.3709993362426758	1	0
S01	2021-01-13 18:19:51	166	G	NON_BLINK	1610562261.298704	1610562261.3077042	1610562261.8677044	1610562262.0767038	1610562262.3827035	0.5149991512298584	0.305999755859375	1	0
S01	2021-01-13 18:19:51	167	G	NON_BLINK	1610562262.3827035	1610562262.391703	1610562263.0037034	1610562263.2127018	1610562263.4957016	0.49199819564819336	0.28299975395202637	1	0
S01	2021-01-13 18:19:51	168	NG	NON_BLINK	1610562263.4967034	1610562263.5047028	1610562263.963701	1610562264.1737015	1610562265.2237003	1.2599992752075195	1.0499987602233887	1	1
S01	2021-01-13 18:19:51	169	NG	NON_BLINK	1610562265.2237003	1610562265.2327013	1610562265.7427025	1610562265.9537024	1610562267.0036986	1.2609961032867432	1.0499961376190186	1	1
S01	2021-01-13 18:19:51	170	G	BLINK	1610562267.0036986	1610562269.0226982	1610562269.531698	1610562269.7416983	1610562270.0486958	0.5169978141784668	0.30699753761291504	1	0
S01	2021-01-13 18:19:51	171	G	NON_BLINK	1610562270.0486958	1610562270.0576978	1610562270.5666971	1610562270.7766955	1610562271.0466971	0.48000001907348633	0.2700016498565674	1	0
S01	2021-01-13 18:19:51	172	G	NON_BLINK	1610562271.0466971	1610562271.0546968	1610562271.6646955	1610562271.8736959	1610562272.0456948	0.3809993267059326	0.1719989776611328	1	0
S01	2021-01-13 18:19:51	173	G	NON_BLINK	1610562272.0456948	1610562272.053696	1610562272.5636961	1610562272.772694	1610562272.9896939	0.4259977340698242	0.21699976921081543	1	0
S01	2021-01-13 18:19:51	174	G	NON_BLINK	1610562272.9896939	1610562272.997696	1610562273.4086938	1610562273.6186934	1610562273.8766947	0.4680008888244629	0.25800132751464844	1	0
S01	2021-01-13 18:19:51	175	G	BLINK	1610562273.8766947	1610562275.8956926	1610562276.4576905	1610562276.667692	1610562276.8216925	0.364001989364624	0.15400052070617676	1	0
S01	2021-01-13 18:19:51	176	G	NON_BLINK	1610562276.8216925	1610562276.830692	1610562277.2406917	1610562277.44969	1610562277.5596936	0.3190019130706787	0.11000347137451172	1	0
S01	2021-01-13 18:19:51	177	G	NON_BLINK	1610562277.5596936	1610562277.5686915	1610562277.98069	1610562278.1896908	1610562278.306691	0.3260009288787842	0.11700010299682617	1	0
S01	2021-01-13 18:19:51	178	G	NON_BLINK	1610562278.306691	1610562278.3156908	1610562278.7256896	1610562278.9346902	1610562279.0416896	0.31599998474121094	0.10699939727783203	1	0
S01	2021-01-13 18:19:51	179	G	NON_BLINK	1610562279.0416896	1610562279.0516903	1610562279.4616902	1610562279.671697	1610562279.7616963	0.3000061511993408	0.08999943733215332	1	0
S01	2021-01-13 18:19:51	180	G	BLINK	1610562279.7616963	1610562281.7856941	1610562282.3456945	1610562282.555693	1610562282.6666934	0.3209989070892334	0.11100053787231445	1	0
S01	2021-01-13 18:19:51	181	G	NON_BLINK	1610562282.6666934	1610562282.6746929	1610562283.236694	1610562283.458693	1610562284.3066912	1.0699970722198486	0.8479981422424316	1	0
S01	2021-01-13 18:19:51	182	G	NON_BLINK	1610562284.3076918	1610562284.3166916	1610562284.7256925	1610562284.9346912	1610562285.0206926	0.2950000762939453	0.08600139617919922	1	0
S01	2021-01-13 18:19:51	183	G	NON_BLINK	1610562285.0206926	1610562285.0326912	1610562285.4906905	1610562285.700692	1610562285.8276925	0.3370020389556885	0.1270005702972412	1	0
S01	2021-01-13 18:19:51	184	NG	NON_BLINK	1610562285.8276925	1610562285.8356915	1610562286.2466893	1610562286.4560618	1610562287.5060608	1.2593715190887451	1.0499989986419678	1	1
S01	2021-01-13 18:19:51	185	G	BLINK	1610562287.5060608	1610562289.52406	1610562290.0340598	1610562290.2430599	1610562290.3680599	0.3340001106262207	0.125	1	0
