Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
131,132,9,6,6,6,3,9,6,1,1,0.7568540000356734,0.5868702000007033,a,psilo
132,133,2,5,3,9,1,7,2,0,0,3.356131099979393,0.804327099933289,a,psilo
133,134,9,8,3,9,1,9,8,1,1,0.8821052999701351,0.1843525000149384,a,psilo
134,135,8,3,6,9,3,8,3,1,1,0.758835899992846,0.5005462999688461,a,psilo
135,136,4,6,6,9,1,4,6,1,1,1.5314531000331044,0.3620084000285715,a,psilo
136,137,9,8,6,9,1,3,8,0,1,2.335779700079001,0.2613581999903545,a,psilo
137,138,2,7,5,6,1,2,7,1,1,1.709012300008908,0.2276325999991968,a,psilo
138,139,2,7,7,9,3,2,7,1,1,0.7367035000352189,0.3177211000584066,a,psilo
139,140,9,5,1,9,3,9,5,1,1,0.7623160000657663,0.5052754998905584,a,psilo
0,1,5,4,4,6,3,5,4,1,1,1.3156353000000536,1.7072107000000187,a,psilo
1,2,8,3,7,9,3,8,3,1,1,1.0302811000000247,0.4590900000000033,a,psilo
2,3,7,9,3,6,3,7,9,1,1,3.111805000000004,0.9488496999999824,a,psilo
3,4,9,3,5,9,1,9,3,1,1,1.1374189999999658,0.4980535999999915,a,psilo
4,5,2,9,6,9,3,2,9,1,1,1.9563277000000312,0.4331025000000181,a,psilo
5,6,2,7,2,9,3,2,7,1,1,0.9388071999999852,0.4539735999999834,a,psilo
6,7,2,7,1,9,1,2,7,1,1,0.963559900000007,0.3421921999999995,a,psilo
7,8,7,9,5,9,1,7,9,1,1,1.3194096999999942,0.4464578999999844,a,psilo
8,9,7,2,3,6,1,7,2,1,1,0.9927266999999916,0.2994931000000065,a,psilo
9,10,9,8,5,6,3,9,8,1,1,0.912544300000036,0.2267987000000175,a,psilo
10,11,9,6,6,6,1,9,6,1,1,1.1919201000000044,0.5329712999999856,a,psilo
11,12,7,5,5,6,3,7,6,1,0,1.5662340000000086,0.2230050999999662,a,psilo
12,13,3,6,4,6,3,3,6,1,1,0.9897538999999824,0.3984163999999737,a,psilo
13,14,7,4,1,6,3,7,4,1,1,1.4041066000000342,0.4067768000000455,a,psilo
14,15,5,9,4,6,3,5,9,1,1,1.181955099999982,0.3633303999999953,a,psilo
15,16,5,3,2,6,1,5,3,1,1,1.1968039000000203,0.2091699000000062,a,psilo
16,17,3,2,6,9,3,3,2,1,1,1.0591755000000376,0.2369769000000019,a,psilo
17,18,7,8,2,9,1,7,8,1,1,1.065430899999967,0.2687528000000156,a,psilo
18,19,4,2,7,9,1,4,2,1,1,0.9758997000000136,0.5015660999999909,a,psilo
19,20,6,9,5,9,1,6,9,1,1,1.3829833000000349,0.6155696000000148,a,psilo
20,21,4,8,4,9,1,4,8,1,1,1.3472226000000092,0.5120654999999488,a,psilo
21,22,4,8,4,9,1,4,8,1,1,1.3669194999999943,0.5973255000000108,a,psilo
22,23,4,3,4,6,1,4,3,1,1,0.9346476000000052,0.6001863999999841,a,psilo
23,24,3,4,4,6,3,3,2,1,0,0.9459120000000212,0.3126263000000335,a,psilo
24,25,5,6,4,9,3,5,6,1,1,1.2099874999999545,0.1153328999999985,a,psilo
25,26,8,9,6,9,1,8,9,1,1,0.926772700000015,0.2443748000000027,a,psilo
26,27,8,5,1,6,1,8,9,1,0,1.549428300000045,0.2474396999999726,a,psilo
27,28,4,3,7,6,1,4,3,1,1,1.6205302999999844,0.3086314000000243,a,psilo
28,29,6,4,2,6,3,4,6,0,0,1.4782415999999898,0.2874122000000056,a,psilo
29,30,8,9,1,9,1,8,9,1,1,0.9799408000000084,0.2599645000000237,a,psilo
30,31,4,5,5,6,1,4,3,1,0,1.4384048000000007,0.2229306000000406,a,psilo
31,32,3,6,1,9,3,3,6,1,1,1.206100900000024,0.5236399000000347,a,psilo
32,33,7,5,2,6,3,7,5,1,1,1.051825400000098,0.4007757000000538,a,psilo
33,34,6,9,1,6,3,6,7,1,0,1.2720084000000045,0.3732709000000795,a,psilo
34,35,9,4,7,9,3,9,8,1,0,1.0083554999999933,0.3868429999999989,a,psilo
35,36,2,7,5,9,3,2,7,1,1,0.8316025000000309,0.4444269000000531,a,psilo
36,37,2,9,4,6,3,2,9,1,1,0.5389691999999968,0.4526511999999911,a,psilo
37,38,7,4,1,9,1,7,4,1,1,1.121251999999913,0.358477799999946,a,psilo
38,39,4,8,3,6,1,4,5,1,0,1.3927222000000938,0.3125833000000284,a,psilo
39,40,3,9,7,9,3,3,9,1,1,1.2397472000000107,0.4620564000000513,a,psilo
40,41,4,2,1,6,3,4,2,1,1,0.796284900000046,0.4550643999999693,a,psilo
41,42,7,4,3,6,3,7,9,1,0,1.0416106999999784,0.3328286999999363,a,psilo
42,43,5,3,7,9,1,5,3,1,1,1.2329465000000257,0.3982282000000623,a,psilo
43,44,2,4,6,9,3,2,4,1,1,1.4845305000000053,0.2662334999999984,a,psilo
44,45,5,3,7,9,1,5,3,1,1,0.9555321999999932,0.3419879000000492,a,psilo
45,46,6,2,2,6,1,6,2,1,1,1.3260495000000674,0.3445427999999992,a,psilo
46,47,3,7,6,6,1,3,7,1,1,0.9899895000000924,0.4562846000000036,a,psilo
47,48,6,5,6,9,1,6,5,1,1,1.013069800000039,0.2707718999999997,a,psilo
48,49,8,9,7,6,3,8,9,1,1,0.7839359000000741,0.221145999999976,a,psilo
49,50,9,5,2,6,3,9,8,1,0,1.3224725999999691,0.2195170999999618,a,psilo
50,51,5,9,4,6,1,5,9,1,1,1.449358200000006,0.3621842999999671,a,psilo
51,52,8,9,4,6,3,8,9,1,1,0.712764800000059,0.2471620999999686,a,psilo
52,53,4,6,4,9,1,4,6,1,1,1.0078868000000512,0.2478975000000218,a,psilo
53,54,7,5,5,9,1,7,5,1,1,0.9660952000000408,0.3912844000000177,a,psilo
