Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
89,90,4,2,4,9,3,4,2,1,1,1.32668050006032,0.5944320999551564,b,placebo
90,91,8,5,2,6,3,8,5,1,1,1.559004799928516,0.4994745999574661,b,placebo
91,92,5,8,3,9,1,5,8,1,1,2.0696465000510216,0.2262080998625606,b,placebo
92,93,7,8,4,6,3,7,8,1,1,0.8285198002122343,0.2432685999665409,b,placebo
93,94,2,6,2,9,3,2,6,1,1,1.735807300079614,0.3790730000473559,b,placebo
94,95,5,4,4,9,1,5,4,1,1,1.088955600047484,0.2231541001237929,b,placebo
95,96,2,6,5,9,3,2,6,1,1,1.1175542999990284,0.6497711001429707,b,placebo
96,97,7,4,2,9,1,7,4,1,1,1.1215129001066089,0.6348137999884784,b,placebo
97,98,6,4,5,9,3,6,4,1,1,1.8723832999821752,1.2818088999483734,b,placebo
98,99,9,6,7,9,3,9,6,1,1,0.9572699000127614,0.8468373999930918,b,placebo
99,100,9,5,5,6,1,9,5,1,1,0.927531500114128,0.3329480998218059,b,placebo
100,101,7,2,2,6,1,7,2,1,1,1.218847299925983,0.3438385999761522,b,placebo
101,102,9,8,4,6,3,9,8,1,1,0.8822516000363976,0.3990019001066685,b,placebo
102,103,3,4,3,9,1,3,4,1,1,0.9839586999733,0.3032925999723375,b,placebo
103,104,7,8,7,6,1,7,8,1,1,1.546240600058809,0.2935063000768423,b,placebo
104,105,3,8,6,9,1,3,8,1,1,1.3645712998695672,0.3535209998954087,b,placebo
105,106,7,4,1,6,3,7,4,1,1,1.207202299963683,0.5295120999217033,b,placebo
106,107,2,7,3,9,1,2,7,1,1,1.3169356000144037,0.2428221998270601,b,placebo
107,108,9,5,4,6,3,9,5,1,1,0.8246234999969602,0.5143275000154972,b,placebo
108,109,2,4,4,9,1,2,4,1,1,0.9941773999016732,0.7549730997998267,b,placebo
109,110,2,3,5,6,1,2,3,1,1,0.97781900013797,0.3175685999449342,b,placebo
110,111,7,8,5,6,3,7,8,1,1,1.0323061998933554,0.2586819999851286,b,placebo
111,112,3,8,5,9,3,3,8,1,1,1.0399006998632103,0.3841026001609862,b,placebo
112,113,7,9,2,9,1,7,9,1,1,1.198575200047344,0.3939300999045372,b,placebo
113,114,8,2,6,9,3,7,2,0,1,1.570433099986985,1.5729098001029342,b,placebo
114,115,2,9,6,9,3,2,9,1,1,1.0470452001318336,0.2786088001448661,b,placebo
115,116,7,5,2,6,3,7,5,1,1,0.91608119988814,0.4893223999533802,b,placebo
116,117,9,8,2,9,3,9,8,1,1,1.160378800006583,0.2393103002104908,b,placebo
117,118,4,8,2,9,1,4,8,1,1,1.2457729999441651,0.4603429001290351,b,placebo
118,119,6,9,5,6,1,6,9,1,1,1.5137211999390274,0.2632889000233263,b,placebo
119,120,8,5,7,9,1,8,5,1,1,1.384019099874422,0.815682000014931,b,placebo
120,121,9,6,2,9,1,9,6,1,1,1.154778600204736,0.3331019000615924,b,placebo
121,122,2,5,1,9,1,2,2,1,0,1.872761500068009,1.5115616999100894,b,placebo
122,123,8,9,4,9,1,8,9,1,1,1.213725500041619,0.2681783000007272,b,placebo
123,124,9,8,2,9,3,9,8,1,1,0.8673243001103401,0.2329736000392586,b,placebo
124,125,4,9,7,9,1,4,9,1,1,1.3904058001935482,0.3940303998533636,b,placebo
125,126,2,3,1,6,1,2,3,1,1,1.1288294000551105,0.142729400191456,b,placebo
126,127,2,3,2,6,3,2,3,1,1,0.9318621000275016,0.1317656999453902,b,placebo
127,128,6,3,5,9,3,6,3,1,1,1.5594302001409233,0.2836740000639111,b,placebo
128,129,9,6,3,6,3,9,6,1,1,1.3312827998306602,0.439172999933362,b,placebo
129,130,6,4,1,9,1,6,4,1,1,1.915329499868676,0.4491031998768449,b,placebo
130,131,3,8,7,6,3,3,8,1,1,1.0078274998813868,0.3638019000645727,b,placebo
131,132,5,3,6,9,1,5,3,1,1,1.2378849000670016,0.3083233998622745,b,placebo
132,133,9,7,4,6,1,9,7,1,1,1.1174172998871654,0.4639454998541623,b,placebo
133,134,2,8,1,6,1,2,8,1,1,1.3455437999218702,0.3479942001868039,b,placebo
134,135,3,9,5,6,1,3,9,1,1,1.3079874999821186,0.3471099000889808,b,placebo
135,136,9,8,6,9,1,9,8,1,1,1.0671796000096947,0.2218778000678867,b,placebo
136,137,3,7,2,9,3,3,7,1,1,1.5958339001517745,0.2439381999429315,b,placebo
137,138,6,7,1,9,1,6,7,1,1,1.5522390000987798,0.2077676001936197,b,placebo
138,139,9,2,6,9,3,9,2,1,1,1.011396599933505,0.4940286001656204,b,placebo
139,140,3,2,2,9,3,3,2,1,1,0.8854837999679148,0.3131292001344263,b,placebo
0,1,2,4,7,9,3,2,4,1,1,1.7287651999995433,5.159790199999407,a,placebo
1,2,8,7,4,6,3,8,7,1,1,1.9371857000005548,1.1415080999995553,a,placebo
2,3,7,9,7,6,1,7,9,1,1,1.401002200000221,1.548015899999882,a,placebo
3,4,5,4,6,6,1,5,4,1,1,2.342099800000142,0.8758161999994627,a,placebo
4,5,4,5,4,6,1,4,5,1,1,1.406312799999796,0.6148176999995485,a,placebo
5,6,3,8,6,6,1,3,8,1,1,2.310591599998588,0.5148632000000362,a,placebo
6,7,8,4,3,6,3,8,2,1,0,1.882156199999372,1.438024499999301,a,placebo
7,8,9,7,3,9,1,9,2,1,0,2.134030499999426,1.0109119000007922,a,placebo
8,9,4,2,3,9,1,4,2,1,1,2.070422299999336,0.6098290999998426,a,placebo
9,10,8,9,2,9,3,8,2,1,0,1.630813899999339,2.0641812999983813,a,placebo
10,11,3,7,3,6,3,3,7,1,1,1.6002788999994664,1.371523600000728,a,placebo
11,12,4,9,1,6,1,4,2,1,0,3.2147117000004077,1.5280268999995317,a,placebo
12,13,3,2,1,6,1,3,5,1,0,2.148429099999703,1.0453560999994806,a,placebo
13,14,6,9,1,6,1,9,2,0,0,1.9587562000015168,0.9047945999991498,a,placebo
